25NW0100014DEVOR, ERNEST N A0075 755 00282840003771220003000000
10NW3800015LYKE, SHARON SHARA A1250 030 00187310000149850000090000
25NW3800016LATING, CAL Q A1125 142 00797950000709290001400000
abNW3800017KATED, ED U A0975 276 01344150001378620001000000
25NE3500005YOUZERS, BILL D A1300 796 05168830003976020001900000
25NE3500006WAGNER, GUY A1250 746 04657840003726270004000000
25SW0400042WILMER, PATRICE A1175 815 04783340004070925003000000
10SW0400043MYLES, IDA WALKER A1350 7!0 05057440003746250004400000
25SW0500044TIME, NICK A A1275 005 00031840000024975000040000
25SW0500045THRUST, PERRY N A1525 523 03983890002612385002200000
25SW0500046HUMPHREY, STAN A0800 249 00995000001243755002400000
15SW0500047LOGAN, KRISTIN I1050 393 02061190001963035001500000
25SW0500048NATION, BERTHA V C0925 028 00129370000139860000100000
25SW0500049SCHULTZ, CHARLES I1150 184 01056940000919080000950000
00SW0500050CARVER, GEORGE A147a 8oo 05894100003996000003996000
25SW0500051CARTOZIAN, ARAM A1325 199 01317060000994005020000000
25SW3300052FORSYTHE, ROBERT ALEXANDERAq805 592 02380420002957040001000000
25NE3500007HAMILTON, BRUCE A0975 263 01280840001313680002600000
25NE3500008FITTS, BEN E C1425 902 06420320004505490003000000
25NE2000001PICATTA, BEVERLY A1025 290 01510360001473520000700000
25NE2000002LEAR, CRYSTAL SHANDA A1550 891 06898340004450540003000000
25NE2000003PAPPAS, JENNIFER A0875 060 00262240000299700000300000
25NE3500009PARSONS, LAURIE A1000 457 02282720002282710002300000
25NE3900010SNOW, MEREDITH A0850 202 00857640001008990000900000
25NE3900011WILLING, ABEL N A0925 826 03816430004125870002100000
25NE3900012DAY, ONA CLAIRE A1105 403 02224350002012980002500000
NE4000013FOREVAR, YUKON C A1300 570 03701300002847150002600000
25NW4800018CALLAHAN, KATHLEEN A1505 240 01804190001198800002200000
25NW4800019ERMINE, URA PLACE A1450 665 04816430003321670001800000
25NW4800020SANDERS, GARY A0800 998 03988010004985010005000000
25NW4800021ENDICOTT, PAMELA C1325 536 03547450002677320002500000
25NW4800022DICKENS, GIVEN D A1075 485 02604270002422570004800000
25MW1500023BENEDICT, HAMMOND X A0900 033 00148350000164830000200000
25MW1500024HASTE, MARY N A1505 550 04134610002747250001300000
25MW1600025YARBOROUGH, JEFFREY C1225 099 00605770000494500000800000
25MW1700026ABINGTON, CARL A0850 330 01401100001648350001000000
25MW1700027STRUCKSON, EVA D I1475 672 04951040003356640003500000
25MW5100028ASHTON, WILLIAM A1105 001 00055190000049950000020000
25MW5100029YOUNG, ROGER A1000 239 01193810001193800002000000
25SE2400030DANCE, JUAN A I1000 239 01193810001193800002000000
25SE1000031WOOD, U BETTY A1050 028 00146850000139860001200000
25SE1000032BUSTER, PHIL A A0875 640 02797200003196800003300000
25SE1000033QUICK, DEVORS M A1100 484 02659340002417580004800000
25SE1100034WORTHIT, HART LEE A1025 235 01203170001173825000500000
25SE1100035STEWART, JANET A1250 680 04245750003396600006600000
25SE1100036NEAR, SUE V A1575 592 04657340002957040002800000
25SE1800037ZEOM, JIM NAY A0900 562 02526470002807190001500000
25SE1800038COLLINS, BRUCE C1350 311 02097150001553445002000000
25SE2800039REILLY, JACK A1425 173 01231390000864135000400000
25SE2800040COOPER, ROXANNE A1005 983 04934640004910085005000000
25SE2800041DOLLAR, SHURR RINCON A0000 000 00000000000399600000000000
25SW3300053HARRIS, SEAN A1050 654 03430070003266730003000000
25SW3350054ALVAREZ, ELENA A1175 140 00821680000699300001380000
25SW4400055KNEAD, PHIL A A0900 755 03394100003771225003200000
25SW4400056XAVIER, FRANCIS A1525 068 00517980000339660000160000
25SW4400057LANDUSKEY, FRED A1350 209 01409340001043955002000000
25SW4400058KLINE, I D A1400 723 05055940003611385001800000
25SW4400059HELM, SIGRID A1205 615 03701670003071925001500000
25SW4400060BYRD, EARL E I0009 626 0002814000312687000600000010005DATA10206162000520005DATA10206162000530005DATA10206162000540005DATA10206162000550005DATA10206162000560005DATA10206162000570005DATA102061620005
